ID,Timestamp,Sensor A,Sensor X,Sensor Y,Sensor Z
232,2024-11-27 10:26:14,0,1999,1596,1630
233,2024-11-27 10:26:14,0,2003,1596,1638
234,2024-11-27 10:26:15,0,2005,1594,1635
235,2024-11-27 10:26:15,0,2000,1609,1633
236,2024-11-27 10:26:16,0,1998,1596,1637
237,2024-11-27 10:26:16,0,2001,1597,1634
238,2024-11-27 10:26:17,0,2005,1593,1637
239,2024-11-27 10:26:17,0,2003,1599,1636
240,2024-11-27 10:26:18,0,2000,1594,1634
241,2024-11-27 10:26:18,0,1995,1591,1635
242,2024-11-27 10:26:19,0,2008,1599,1637
243,2024-11-27 10:26:26,0,2000,1594,1632
244,2024-11-27 10:26:27,0,2003,1596,1634
245,2024-11-27 10:26:27,0,2002,1594,1633
246,2024-11-27 10:26:28,0,2007,1595,1633
247,2024-11-27 10:26:28,0,2002,1603,1636
248,2024-11-27 10:26:29,0,2005,1591,1640
249,2024-11-27 10:26:29,0,1992,1596,1641
250,2024-11-27 10:26:30,0,1996,1596,1638
251,2024-11-27 10:26:30,0,1951,1592,1632
252,2024-11-27 10:26:31,0,1911,1596,1638
253,2024-11-27 10:26:31,0,1903,1590,1631
254,2024-11-27 10:28:28,0,1983,1666,1683
255,2024-11-27 10:28:28,0,2005,1638,1666
256,2024-11-27 10:28:29,0,1981,1613,1651
257,2024-11-27 10:28:29,0,1984,1574,1618
258,2024-11-27 10:28:30,0,2025,1547,1636
259,2024-11-27 10:28:30,0,2000,1526,1626
260,2024-11-27 10:28:31,0,1995,1498,1612
261,2024-11-27 10:28:31,0,1982,1594,1689
262,2024-11-27 10:28:32,0,1979,1637,1709
263,2024-11-27 10:28:32,0,1987,1666,1747
264,2024-11-27 10:28:33,0,2003,1609,1673
265,2024-11-27 10:28:35,0,1997,1554,1595
266,2024-11-27 10:28:35,0,1975,1553,1585
267,2024-11-27 10:28:36,0,1982,1556,1588
268,2024-11-27 10:28:36,0,1983,1581,1633
269,2024-11-27 10:28:37,0,1981,1603,1632
270,2024-11-27 10:28:37,0,2018,1613,1715
271,2024-11-27 10:28:38,0,1953,1661,1618
272,2024-11-27 10:28:38,0,1981,1673,1625
273,2024-11-27 10:28:39,0,1986,1579,1576
274,2024-11-27 10:28:39,0,1953,1561,1525
275,2024-11-27 10:28:40,0,1964,1555,1489
276,2024-11-27 10:28:41,0,1972,1597,1592
277,2024-11-27 10:28:42,0,1963,1648,1634
278,2024-11-27 10:28:42,0,1974,1662,1691
279,2024-11-27 10:28:43,0,1981,1640,1737
280,2024-11-27 10:28:43,0,1965,1634,1766
281,2024-11-27 10:28:44,0,1964,1620,1763
282,2024-11-27 10:28:44,0,2023,1611,1684
283,2024-11-27 10:28:45,0,2025,1594,1601
284,2024-11-27 10:28:45,0,1958,1567,1521
285,2024-11-27 10:28:46,0,1946,1545,1491
286,2024-11-27 10:28:46,0,1974,1556,1515
287,2024-11-27 10:28:48,0,1983,1650,1711
288,2024-11-27 10:28:49,0,1981,1652,1738
289,2024-11-27 10:28:49,0,1962,1640,1766
290,2024-11-27 10:28:49,0,1994,1633,1700
291,2024-11-27 10:28:50,0,2003,1624,1618
292,2024-11-27 10:28:50,0,1971,1628,1575
293,2024-11-27 10:28:51,0,1960,1615,1525
294,2024-11-27 10:28:51,0,1956,1613,1497
295,2024-11-27 10:28:52,0,1948,1655,1511
296,2024-11-27 10:28:53,0,1967,1687,1528
297,2024-11-27 10:28:53,0,1973,1681,1597
298,2024-11-27 10:28:55,0,1990,1586,1707
299,2024-11-27 10:28:55,0,1988,1560,1707
300,2024-11-27 10:28:56,0,1982,1511,1729
301,2024-11-27 10:28:56,0,1961,1518,1744
302,2024-11-27 10:28:57,0,1966,1518,1729
303,2024-11-27 10:28:57,0,1973,1510,1679
304,2024-11-27 10:28:58,0,1971,1511,1676
305,2024-11-27 10:28:58,0,1981,1518,1631
306,2024-11-27 10:28:59,0,1981,1525,1604
307,2024-11-27 10:28:59,0,1986,1519,1583
308,2024-11-27 10:29:00,0,1983,1517,1574
309,2024-11-27 10:29:07,1,1638,1956,1633
310,2024-11-27 10:29:08,1,1633,1937,1631
311,2024-11-27 10:29:08,1,1645,1927,1588
312,2024-11-27 10:29:09,1,1654,1949,1542
313,2024-11-27 10:29:09,1,1722,1898,1531
314,2024-11-27 10:29:10,1,1729,1928,1617
315,2024-11-27 10:29:11,1,1745,1925,1662
316,2024-11-27 10:29:11,1,1745,1925,1709
317,2024-11-27 10:29:12,1,1680,1958,1715
318,2024-11-27 10:29:12,1,1650,1941,1675
319,2024-11-27 10:29:13,1,1638,1952,1645
320,2024-11-27 10:29:14,1,1605,1940,1653
321,2024-11-27 10:29:15,1,1604,1932,1647
322,2024-11-27 10:29:15,1,1599,1929,1645
323,2024-11-27 10:29:16,1,1582,1923,1706
324,2024-11-27 10:29:16,1,1582,1921,1702
325,2024-11-27 10:29:17,1,1582,1917,1742
326,2024-11-27 10:29:17,1,1574,1918,1747
327,2024-11-27 10:29:18,1,1600,1932,1730
328,2024-11-27 10:29:18,1,1604,1926,1754
329,2024-11-27 10:29:19,1,1617,1917,1747
330,2024-11-27 10:29:19,1,1639,1931,1727
331,2024-11-27 10:29:21,1,1687,1948,1659
332,2024-11-27 10:29:21,1,1681,1942,1616
333,2024-11-27 10:29:22,1,1701,1936,1582
334,2024-11-27 10:29:22,1,1701,1930,1560
335,2024-11-27 10:29:23,1,1697,1934,1536
336,2024-11-27 10:29:23,1,1644,1925,1564
337,2024-11-27 10:29:24,1,1628,1933,1601
338,2024-11-27 10:29:24,1,1599,1927,1660
339,2024-11-27 10:29:25,1,1593,1934,1679
340,2024-11-27 10:29:25,1,1599,1948,1702
341,2024-11-27 10:29:26,1,1609,1927,1732
342,2024-11-27 10:29:27,1,1687,1939,1684
343,2024-11-27 10:29:28,1,1694,1945,1620
344,2024-11-27 10:29:28,1,1683,1930,1582
345,2024-11-27 10:29:29,1,1644,1940,1578
346,2024-11-27 10:29:29,1,1605,1946,1637
347,2024-11-27 10:29:30,1,1602,1925,1645
348,2024-11-27 10:29:30,1,1594,1925,1655
349,2024-11-27 10:29:31,1,1601,1948,1649
350,2024-11-27 10:29:31,1,1614,1925,1663
351,2024-11-27 10:29:32,1,1602,1937,1678
352,2024-11-27 10:29:32,1,1613,1941,1674
353,2024-11-27 10:29:34,1,1654,1937,1610
354,2024-11-27 10:29:35,1,1708,1938,1560
355,2024-11-27 10:29:35,1,1666,1928,1617
356,2024-11-27 10:29:36,1,1603,1909,1707
357,2024-11-27 10:29:36,1,1582,1905,1749
358,2024-11-27 10:29:37,1,1606,1933,1748
359,2024-11-27 10:29:37,1,1664,1935,1698
360,2024-11-27 10:29:38,1,1729,1941,1663
361,2024-11-27 10:29:38,1,1754,1935,1644
362,2024-11-27 10:29:39,1,1777,1918,1632
363,2024-11-27 10:29:39,1,1808,1913,1607
364,2024-11-27 10:29:42,1,1624,1941,1662
365,2024-11-27 10:29:42,1,1621,1933,1689
366,2024-11-27 10:29:43,1,1644,1928,1686
367,2024-11-27 10:29:43,1,1675,1946,1662
368,2024-11-27 10:29:44,1,1699,1936,1678
369,2024-11-27 10:29:44,1,1727,1930,1672
370,2024-11-27 10:29:45,1,1778,1928,1667
371,2024-11-27 10:29:45,1,1799,1908,1633
372,2024-11-27 10:29:46,1,1800,1903,1569
373,2024-11-27 10:29:46,1,1703,1922,1538
374,2024-11-27 10:29:46,1,1648,1935,1581
375,2024-11-27 10:29:48,1,1621,1927,1712
376,2024-11-27 10:29:48,1,1630,1929,1716
377,2024-11-27 10:29:49,1,1646,1923,1747
378,2024-11-27 10:29:49,1,1660,1931,1726
379,2024-11-27 10:29:50,1,1685,1937,1679
380,2024-11-27 10:29:50,1,1730,1938,1648
381,2024-11-27 10:29:51,1,1734,1923,1571
382,2024-11-27 10:29:51,1,1727,1904,1489
383,2024-11-27 10:29:52,1,1714,1891,1452
384,2024-11-27 10:29:52,1,1699,1856,1453
385,2024-11-27 10:29:53,1,1647,1924,1547
386,2024-11-27 10:29:54,1,1591,1931,1702
387,2024-11-27 10:29:54,1,1614,1916,1729
388,2024-11-27 10:29:55,1,1627,1923,1765
389,2024-11-27 10:29:55,1,1640,1926,1803
390,2024-11-27 10:29:56,1,1640,1883,1824
391,2024-11-27 10:29:56,1,1658,1887,1834
392,2024-11-27 10:29:57,1,1718,1916,1796
393,2024-11-27 10:29:57,1,1725,1918,1738
394,2024-11-27 10:29:58,1,1742,1926,1671
395,2024-11-27 10:29:58,1,1715,1940,1652
396,2024-11-27 10:29:59,1,1706,1939,1594
397,2024-11-27 10:30:00,1,1673,1927,1554
398,2024-11-27 10:30:01,1,1628,1932,1598
399,2024-11-27 10:30:01,1,1594,1935,1636
400,2024-11-27 10:30:02,1,1583,1940,1664
401,2024-11-27 10:30:02,1,1590,1916,1700
402,2024-11-27 10:30:03,1,1608,1925,1759
403,2024-11-27 10:30:03,1,1577,1923,1713
404,2024-11-27 10:30:04,1,1545,1907,1691
405,2024-11-27 10:30:04,1,1565,1945,1681
406,2024-11-27 10:30:05,1,1646,1939,1640
407,2024-11-27 10:30:05,1,1719,1930,1653
408,2024-11-27 10:30:06,1,1911,1845,1662
409,2024-11-27 10:30:07,1,1908,1818,1685
410,2024-11-27 10:30:07,1,1915,1805,1705
411,2024-11-27 10:30:08,1,1933,1796,1739
412,2024-11-27 10:30:08,1,1916,1821,1697
413,2024-11-27 10:30:09,1,1850,1882,1634
414,2024-11-27 10:30:09,1,1775,1925,1580
415,2024-11-27 10:30:10,1,1724,1924,1521
416,2024-11-27 10:30:10,1,1690,1916,1498
417,2024-11-27 10:30:11,1,1647,1939,1618
418,2024-11-27 10:30:11,1,1625,1931,1694
419,2024-11-27 10:30:15,1,1682,1951,1669
420,2024-11-27 10:30:16,1,1686,1933,1655
421,2024-11-27 10:30:16,1,1682,1953,1669
422,2024-11-27 10:30:17,1,1669,1945,1680
423,2024-11-27 10:30:17,1,1663,1952,1691
424,2024-11-27 10:30:18,1,1689,1935,1679
425,2024-11-27 10:30:18,1,1683,1943,1655
426,2024-11-27 10:30:19,1,1681,1943,1655
427,2024-11-27 10:30:19,1,1678,1951,1647
428,2024-11-27 10:30:20,1,1666,1942,1659
429,2024-11-27 10:30:20,1,1663,1942,1651
430,2024-11-27 10:30:30,2,1663,1610,1979
431,2024-11-27 10:30:30,2,1660,1606,1972
432,2024-11-27 10:30:31,2,1650,1596,1964
433,2024-11-27 10:30:31,2,1666,1584,1965
434,2024-11-27 10:30:32,2,1639,1565,1940
435,2024-11-27 10:30:32,2,1631,1521,1962
436,2024-11-27 10:30:33,2,1663,1546,1961
437,2024-11-27 10:30:33,2,1727,1560,1968
438,2024-11-27 10:30:34,2,1674,1616,1962
439,2024-11-27 10:30:34,2,1600,1623,1955
440,2024-11-27 10:30:35,2,1640,1667,1993
441,2024-11-27 10:30:37,2,1645,1590,1969
442,2024-11-27 10:30:38,2,1639,1597,1971
443,2024-11-27 10:30:38,2,1731,1626,1967
444,2024-11-27 10:30:39,2,1779,1604,1962
445,2024-11-27 10:30:39,2,1816,1666,1928
446,2024-11-27 10:30:40,2,1799,1700,1931
447,2024-11-27 10:30:40,2,1715,1667,1968
448,2024-11-27 10:30:41,2,1662,1642,1968
449,2024-11-27 10:30:41,2,1626,1605,1967
450,2024-11-27 10:30:42,2,1608,1597,1972
451,2024-11-27 10:30:42,2,1590,1571,1960
452,2024-11-27 10:30:44,2,1660,1560,1967
453,2024-11-27 10:30:44,2,1683,1560,1966
454,2024-11-27 10:30:45,2,1706,1575,1966
455,2024-11-27 10:30:45,2,1733,1602,1967
456,2024-11-27 10:30:46,2,1724,1647,1961
457,2024-11-27 10:30:46,2,1666,1634,1966
458,2024-11-27 10:30:47,2,1628,1595,1966
459,2024-11-27 10:30:47,2,1647,1567,1966
460,2024-11-27 10:30:48,2,1701,1560,1962
461,2024-11-27 10:30:48,2,1747,1585,1957
462,2024-11-27 10:30:49,2,1755,1619,1960
463,2024-11-27 10:30:50,2,1625,1603,1960
464,2024-11-27 10:30:51,2,1603,1562,1965
465,2024-11-27 10:30:51,2,1595,1556,1954
466,2024-11-27 10:30:52,2,1598,1553,1950
467,2024-11-27 10:30:52,2,1658,1548,1960
468,2024-11-27 10:30:53,2,1707,1575,1963
469,2024-11-27 10:30:53,2,1746,1610,1959
